School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Non-Traditional,142,Nashville Big Picture High School,53,37209,,,,,,,,,,,,27,45,26,26,,1,82,14,,27,49,75,53,23,2,36.14308831,-86.85571486,"(36.14308831, -86.85571486)"
18-19,Middle School,400,Haynes Middle,305,37207,,,,,,,,54,71,56,53,,,,,,,227,1,,6,112,122,158,49,,36.20764018,-86.78911404,"(36.20764018, -86.78911404)"
18-19,Charter,504,KIPP Nashville Collegiate High School,8011,37207,,,,,,,,,,,,137,113,76,51,,2,256,104,,15,195,182,190,55,41,36.19479841,-86.76918578,"(36.19479841, -86.76918578)"
18-19,Elementary School,595,Neelys Bend Elementary,515,37115,,,51,60,48,53,63,,,,,,,,,,1,89,133,,52,139,136,161,35,102,36.23996906,-86.6735175,"(36.23996906, -86.6735175)"
18-19,Charter,507,LEAD Prep Southeast,8013,37211,,,,,,,,119,123,120,147,95,73,,,1,42,120,312,,202,325,352,314,59,371,36.09233578,-86.70367086,"(36.09233578, -86.70367086)"
18-19,High School,497,Martin Luther King Jr School,456,37203,,,,,,,,,,138,153,254,235,235,236,1,141,525,86,2,496,597,654,166,23,24,36.16167564,-86.80047381,"(36.16167564, -86.80047381)"
18-19,Middle School,470,Joelton Middle,385,37080,,,,,,,,80,74,89,91,,,,,1,1,228,28,,76,192,142,270,62,17,36.31384607,-86.86577624,"(36.31384607, -86.86577624)"
18-19,Elementary School,500,Robert E. Lillard Elementary,420,37218,,,47,54,47,53,65,,,,,,,,,,1,257,3,,5,135,131,197,40,4,36.22057234,-86.82690777,"(36.22057234, -86.82690777)"
18-19,Elementary School,122,Lakeview Elementary,430,37217,21,42,110,91,105,102,96,,,,,,,,,,19,172,225,,151,295,272,283,95,252,36.07881496,-86.63007231,"(36.07881496, -86.63007231)"
18-19,Middle School,498,John F. Kennedy Middle,393,37013,,,,,,,,212,211,210,211,,,,,1,25,341,292,1,184,438,406,346,82,341,36.05546679,-86.6006047,"(36.05546679, -86.6006047)"
18-19,Elementary School,522,Ruby Major Elementary,607,37076,3,31,87,87,108,89,104,,,,,,,,,5,16,235,71,1,181,266,243,224,79,62,36.15616691,-86.57865771,"(36.15616691, -86.57865771)"
18-19,Middle School,120,Jere Baxter Middle,375,37207,,,,,,,,58,66,69,56,,,,,,,122,86,1,40,133,116,172,40,75,36.21902803,-86.75088304,"(36.21902803, -86.75088304)"
18-19,Charter,517,Liberty Collegiate Academy,8005,37216,,,,,,,,107,128,96,105,,,,,,2,154,243,,37,198,238,215,56,197,36.2120627,-86.73292493,"(36.2120627, -86.73292493)"
18-19,Elementary School,240,Cumberland Elementary,150,37218,,,50,58,51,61,67,,,,,,,,,1,1,233,22,2,28,139,148,231,41,12,36.2120691,-86.86656862,"(36.2120691, -86.86656862)"
